country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","31-05-2025 21:00:00",25.42742023,86.13886079,CO,32,70,50
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","31-05-2025 21:00:00",26.80365,84.51954,NO2,1,12,8
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","31-05-2025 21:00:00",26.80365,84.51954,NH3,4,9,7
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","31-05-2025 21:00:00",25.251013,86.989001,NO2,14,26,19
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","31-05-2025 21:00:00",25.251013,86.989001,OZONE,12,41,15
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","31-05-2025 21:00:00",25.265194,87.012947,NO2,9,11,10
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","31-05-2025 21:00:00",25.265194,87.012947,OZONE,5,11,9
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","31-05-2025 21:00:00",25.204762,85.514960,PM2.5,NA,NA,NA
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","31-05-2025 21:00:00",25.204762,85.514960,NO2,7,10,9
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","31-05-2025 21:00:00",13.615387,79.409230,PM10,39,86,46
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","31-05-2025 21:00:00",13.615387,79.409230,NH3,2,3,2
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","31-05-2025 21:00:00",16.536107,80.594233,PM10,45,68,53
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","31-05-2025 21:00:00",16.486692,80.699436,PM2.5,48,54,52
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","31-05-2025 21:00:00",16.486692,80.699436,PM10,46,52,50
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","31-05-2025 21:00:00",16.486692,80.699436,SO2,10,16,14
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","31-05-2025 21:00:00",16.509717,80.612222,OZONE,26,43,37
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","31-05-2025 21:00:00",17.72,83.3,PM2.5,53,100,71
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","31-05-2025 21:00:00",17.72,83.3,NH3,3,5,3
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","31-05-2025 21:00:00",17.72,83.3,SO2,4,22,8
India,Assam,Guwahati,"IITG, Guwahati - PCBA","31-05-2025 21:00:00",26.2028636,91.70046436,PM10,6,116,27
India,Assam,Guwahati,"IITG, Guwahati - PCBA","31-05-2025 21:00:00",26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","31-05-2025 21:00:00",26.10887,91.589544,PM10,45,50,48
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","31-05-2025 21:00:00",26.10887,91.589544,NH3,7,13,10
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","31-05-2025 21:00:00",14.465052,78.824187,NO2,10,21,13
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","31-05-2025 21:00:00",16.9872867,81.7363176,NH3,1,2,2
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","31-05-2025 21:00:00",16.9872867,81.7363176,SO2,1,6,3
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","31-05-2025 21:00:00",13.67,79.35,NO2,9,23,14
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","31-05-2025 21:00:00",13.67,79.35,NH3,1,2,1
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","31-05-2025 21:00:00",13.67,79.35,CO,18,32,26
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","31-05-2025 21:00:00",24.792403,84.992416,NH3,4,6,5
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","31-05-2025 21:00:00",25.697189,85.245900,OZONE,50,147,100
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","31-05-2025 21:00:00",25.560083,87.553265,PM2.5,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","31-05-2025 21:00:00",26.0881305,87.93840336,PM2.5,2,48,20
