Location,Primary energy supply Fossil fuels (% of total) 2012,Primary energy supply Renewable sources (% of total) 2012,Electrification rate Total (% of population) 2012,Electrification rate Rural (% of rural population) 2012,Carbon dioxide emissions per capita (tonnes) 2011,Carbon dioxide emissions per capita Average annual growth (%) 1970/2011,Natural resource depletion (% of GNI) 2008Ð2013,Forest area (% of total land area) 2012,Natural resources (% change) 1990/2012,Fresh water withdrawals (% of total renewable water resources) 2005Ð2014,"Deaths of children under age 5 due to Outdoor air pollution (per 100,000 children under age 5) 2008","Deaths of children under age 5 due to Indoor air pollution (per 100,000 children under age 5) 2004","Deaths of children under age 5 due to Poor water, sanitation or hygiene (per 100,000 children under age 5) 2004",Population living on degraded land (%) 2010,Population affected by Natural disasters (average annual per million people) 2005/2014
Afghanistan,,,43.0,32.0,0.4,3.3,1.2,2.1,0.0,,21,"1,183","1,405",11.0,"17,311"
Albania,60.5,26.6,100.0,100.0,1.6,-0.3,3.5,28.2,-1.9,4.3,0,5,50,5.7,"20,568"
Algeria,99.9,0.1,100.0,100.0,3.2,3.8,18.0,0.6,-11.6,,1,5,101,28.8,343
Andorra,,,100.0,100.0,6.3,,,34.0,0.0,,0,0,0,,
Angola,39.3,60.7,37.0,6.0,1.5,2.9,31.0,46.7,-4.5,0.5,11,"1,073","1,266",3.3,"13,473"
Antigua and Barbuda,,,90.9,79.8,5.8,-0.6,,22.3,-4.9,8.5,0,1,0,,"35,508"
Arab States,96.3,3.2,86.9,74.2,4.9,-1.6,15.3,5.9,-22.6,,6,76,219,24.3,
Argentina,89.7,9.3,99.8,95.8,4.7,1.0,3.1,10.6,-16.9,4.3,0,0,3,1.7,"1,667"
Armenia,71.5,32.7,100.0,100.0,1.7,,2.2,8.9,-26.9,37.9,2,17,65,9.6,"2,549"
Australia,95.4,4.6,100.0,100.0,16.5,1.1,3.8,19.2,-4.6,3.9,0,0,0,9.0,"1,337"
Austria,67.1,32.2,100.0,100.0,7.8,0.4,0.2,47.3,3.3,,0,0,0,2.7,19
Azerbaijan,97.9,2.6,100.0,100.0,3.6,,26.0,11.3,0.7,34.5,2,132,269,3.8,"1,079"
Bahamas,,,100.0,100.0,5.2,-3.4,0.0,51.4,0.0,,0,0,2,,"6,305"
Bahrain,99.9,0.0,97.7,92.9,18.1,1.3,9.7,0.7,154.2,,0,0,,,
Bangladesh,71.5,28.5,59.6,49.3,0.4,,2.8,11.0,-3.8,2.9,2,142,334,11.3,"28,112"
Barbados,,,90.9,79.8,5.6,3.7,0.8,19.4,0.0,87.5,0,0,0,,894
Belarus,90.4,5.9,100.0,100.0,6.7,,1.5,42.9,11.9,,0,0,1,4.7,472
Belgium,70.1,28.3,100.0,100.0,8.8,-1.2,0.0,22.5,,34.0,0,0,0,10.5,9
Belize,,,100.0,100.0,1.7,1.8,5.9,60.2,-13.4,,0,21,27,1.1,"22,279"
Benin,41.7,56.2,38.4,14.5,0.5,5.5,1.9,39.6,-22.6,,8,394,518,1.6,"13,001"
Bhutan,,,75.6,52.8,0.8,14.2,16.6,85.8,32.1,0.4,0,124,324,0.1,"2,821"
Bolivia (Plurinational State of),72.7,27.3,90.5,72.5,1.6,3.2,13.0,52.2,-9.9,0.4,0,93,245,2.0,"25,572"
Bosnia and Herzegovina,93.9,7.9,100.0,100.0,6.2,,,42.8,-1.1,0.9,1,1,2,6.1,"27,578"
Botswana,65.4,22.3,53.2,23.9,2.4,,1.6,19.6,-19.0,,4,210,341,22.0,"1,610"
Brazil,54.6,44.2,99.5,97.0,2.2,2.7,3.8,61.6,-10.4,0.9,0,18,123,7.9,"4,506"
Brunei Darussalam,100.0,0.0,76.2,67.1,24.0,-3.1,29.8,71.4,-8.9,,0,0,,,0
Bulgaria,75.0,29.4,100.0,100.0,6.7,-0.2,0.9,37.2,23.7,28.7,1,2,2,7.8,808
Burkina Faso,,,13.1,1.4,0.1,5.2,13.9,20.2,-19.2,6.1,9,632,786,73.2,"48,243"
Burundi,,,6.5,1.2,0.0,0.6,26.9,6.6,-41.7,,4,897,"1,088",18.5,"27,356"
Cabo Verde,,,70.6,46.8,0.9,6.2,0.5,21.3,48.3,,0,26,93,,"4,351"
